latitude,longitude,date,timestamp,dt,temp,humidity,pressure,clouds,wind_speed,date_time
-35.2646769,149.0628611,2023-04-16,1681603200,1681603200,12.36,92,1004,100,9.77,2023-04-16 10:00:00
-35.2646769,149.0628611,2023-04-16,1681603200,1681603200,12.36,92,1004,100,9.77,2023-04-16 10:00:00
-33.2646769,149.0628611,2023-04-15,1681516800,1681516800,17.46,68,1014,37,3.75,2023-04-15 10:00:00
-36.2646769,149.0628611,2023-04-13,1681344000,1681344000,9.5,91,1013,100,3.61,2023-04-13 10:00:00
